# JD-2400000 Ca_H&K
3.940133556155143742e+04 1.749050000000000049e-01
3.943181412310287124e+04 1.726555000000000173e-01
3.946229268465430505e+04 nan
3.949277124620573886e+04 1.718760000000000010e-01
3.952324980775717268e+04 1.785470000000000113e-01
3.955372836930860649e+04 1.791316666666666613e-01
3.958420693086004030e+04 nan
3.961468549241147412e+04 1.649619999999999975e-01
3.964516405396290065e+04 nan
3.967564261551433447e+04 1.593617499999999965e-01
3.970612117706576828e+04 1.639389999999999736e-01
3.973659973861720209e+04 1.675036000000000025e-01
3.976707830016863591e+04 nan
3.979755686172006972e+04 1.743600000000000150e-01
3.982803542327150353e+04 nan
3.985851398482293735e+04 nan
3.988899254637437116e+04 1.789370000000000127e-01
3.991947110792580497e+04 nan
3.994994966947723879e+04 nan
3.998042823102867260e+04 nan
4.001090679258010641e+04 nan
4.004138535413154023e+04 1.768915000000000071e-01
4.007186391568297404e+04 1.734829999999999706e-01
4.010234247723440785e+04 1.761129999999999918e-01
4.013282103878584167e+04 1.710727499999999957e-01
4.016329960033726820e+04 nan
4.019377816188870202e+04 1.703343333333333376e-01
4.022425672344013583e+04 1.744570000000000010e-01
4.025473528499156964e+04 1.727686666666666537e-01
4.028521384654300346e+04 1.769894999999999941e-01
4.031569240809443727e+04 1.832462499999999994e-01
4.034617096964587108e+04 1.705936666666666712e-01
4.037664953119730490e+04 nan
4.040712809274873871e+04 nan
4.043760665430017252e+04 nan
4.046808521585160634e+04 1.699284999999999823e-01
4.049856377740304015e+04 nan
4.052904233895447396e+04 1.749930000000000097e-01
4.055952090050590778e+04 nan
4.058999946205734159e+04 1.802030000000000021e-01
4.062047802360877540e+04 1.807869999999999755e-01
4.065095658516020922e+04 nan
4.068143514671163575e+04 1.806654999999999789e-01
4.071191370826306957e+04 1.695875000000000021e-01
4.074239226981450338e+04 1.705615000000000048e-01
4.077287083136593719e+04 nan
4.080334939291737101e+04 nan
4.083382795446880482e+04 nan
4.086430651602023863e+04 1.785470000000000113e-01
4.089478507757167245e+04 nan
4.092526363912310626e+04 nan
4.095574220067454007e+04 nan
4.098622076222597389e+04 nan
4.101669932377740770e+04 nan
4.104717788532884151e+04 1.739700000000000135e-01
4.107765644688027533e+04 1.756260000000000043e-01
4.110813500843170914e+04 nan
4.113861356998314295e+04 1.693685000000000329e-01
4.116909213153457677e+04 nan
4.119957069308600330e+04 nan
4.123004925463743712e+04 nan
4.126052781618887093e+04 nan
4.129100637774030474e+04 nan
4.132148493929173856e+04 nan
4.135196350084317237e+04 nan
4.138244206239460618e+04 nan
4.141292062394604000e+04 nan
4.144339918549747381e+04 nan
4.147387774704890762e+04 nan
4.150435630860034144e+04 nan
4.153483487015177525e+04 nan
4.156531343170320906e+04 nan
4.159579199325464288e+04 nan
4.162627055480607669e+04 nan
4.165674911635751050e+04 nan
4.168722767790894432e+04 nan
4.171770623946037085e+04 nan
4.174818480101180467e+04 nan
4.177866336256323848e+04 nan
4.180914192411467229e+04 nan
4.183962048566610611e+04 nan
4.187009904721753992e+04 nan
4.190057760876897373e+04 nan
4.193105617032040755e+04 nan
4.196153473187184136e+04 nan
4.199201329342327517e+04 nan
4.202249185497470899e+04 nan
4.205297041652614280e+04 nan
4.208344897807757661e+04 nan
4.211392753962901043e+04 1.640359999999999874e-01
4.214440610118044424e+04 nan
4.217488466273187805e+04 1.676396666666666591e-01
4.220536322428331187e+04 nan
4.223584178583473840e+04 nan
4.226632034738617222e+04 1.617720000000000269e-01
4.229679890893760603e+04 1.608876666666666511e-01
4.232727747048903984e+04 nan
4.235775603204047366e+04 1.617474999999999885e-01
4.238823459359190747e+04 1.637445000000000150e-01
4.241871315514334128e+04 nan
4.244919171669477510e+04 1.548329999999999984e-01
4.247967027824620891e+04 1.659599999999999964e-01
4.251014883979764272e+04 1.624780000000000113e-01
4.254062740134907654e+04 nan
4.257110596290051035e+04 1.641825000000000090e-01
4.260158452445194416e+04 1.634519999999999862e-01
4.263206308600337798e+04 1.647669999999999968e-01
4.266254164755481179e+04 1.677615000000000078e-01
4.269302020910624560e+04 1.623562499999999797e-01
4.272349877065767942e+04 1.652700000000000002e-01
4.275397733220910595e+04 1.611150000000000082e-01
4.278445589376053977e+04 1.634520000000000139e-01
4.281493445531197358e+04 1.612119999999999942e-01
4.284541301686340739e+04 1.583229999999999915e-01
4.287589157841484121e+04 1.592645000000000033e-01
4.290637013996627502e+04 1.600429999999999908e-01
4.293684870151770883e+04 1.626972500000000155e-01
4.296732726306914265e+04 1.573170000000000124e-01
4.299780582462057646e+04 1.575110000000000121e-01
4.302828438617201027e+04 nan
4.305876294772344409e+04 nan
4.308924150927487790e+04 1.539079999999999893e-01
4.311972007082631171e+04 1.633864285714285713e-01
4.315019863237774553e+04 1.669889999999999985e-01
4.318067719392917934e+04 1.638183571428571406e-01
4.321115575548061315e+04 1.641696470588235313e-01
4.324163431703204697e+04 1.651389999999999803e-01
4.327211287858347350e+04 1.669700000000000073e-01
4.330259144013490732e+04 1.678376666666666628e-01
4.333307000168634113e+04 nan
4.336354856323777494e+04 nan
4.339402712478920876e+04 nan
4.342450568634064257e+04 nan
4.345498424789207638e+04 nan
4.348546280944351020e+04 nan
4.351594137099494401e+04 1.684519999999999906e-01
4.354641993254637782e+04 1.676169999999999882e-01
4.357689849409781164e+04 1.760039999999999938e-01
4.360737705564924545e+04 1.740850000000000175e-01
4.363785561720067926e+04 1.729479999999999906e-01
4.366833417875211308e+04 nan
4.369881274030354689e+04 nan
4.372929130185497343e+04 1.738889999999999880e-01
4.375976986340641452e+04 1.718350000000000155e-01
4.379024842495784105e+04 1.725889999999999924e-01
4.382072698650927487e+04 1.774620000000000086e-01
4.385120554806070868e+04 1.714616666666666511e-01
4.388168410961214249e+04 nan
4.391216267116357631e+04 1.759519999999999973e-01
4.394264123271501012e+04 nan
4.397311979426644393e+04 1.717589999999999950e-01
4.400359835581787775e+04 1.796373333333333433e-01
4.403407691736931156e+04 1.777249999999999941e-01
4.406455547892074537e+04 1.806689999999999963e-01
4.409503404047217919e+04 nan
4.412551260202361300e+04 1.798315000000000052e-01
4.415599116357504681e+04 nan
4.418646972512648063e+04 nan
4.421694828667791444e+04 nan
4.424742684822934098e+04 nan
4.427790540978078207e+04 nan
4.430838397133220860e+04 1.734256666666666724e-01
4.433886253288364242e+04 1.830320000000000003e-01
4.436934109443507623e+04 1.770149999999999779e-01
4.439981965598651004e+04 nan
4.443029821753794386e+04 nan
4.446077677908937767e+04 nan
4.449125534064081148e+04 1.769014999999999893e-01
4.452173390219224530e+04 nan
4.455221246374367911e+04 1.833355000000000123e-01
4.458269102529511292e+04 1.817562500000000081e-01
4.461316958684654674e+04 1.796676666666666700e-01
4.464364814839798055e+04 1.769121428571428789e-01
